DISCORD ID,DRIVER,PENALTY,PENALTY,SEVERITY,RECORD,CATEGORY,NOTES
,Chevrolet,SL11R9,Warning,1 (Minor),1st offence,Chattiing During Race,NEXT OFFENCE = 5s time pen
,Commiekaze,UL13,1 Season Ban,5 (Absolute),2nd Offence,Travesty of the Sport ,"Racing as an Alias in all 3 leagues, cancelling contracts and signing with his original racer in sam eleague + racing in a league he was banned from under alias (pre steam verification)"
,Commiekaze,SL7R6,Absolute Warning,4 (Severe),1st offence,Committing & conspiring to commit unsportsmanlike conduct + SERVER abuse,Public boasting of dirty driving moves. Committing & conspiring unsportsmanlike conduct.
,Commiekaze,CL8F1,CONNECTION BAN,4 (Severe),CONNECTION,Careless Driving - LAG trailer Causig Accident ,(15:14) Connection Rehab Issue Not Resolved - Must do more re-hab
,Commiekaze,CL8S1,Reminder,1 (Minor),no offence,Chatting During Countdown,
,Commiekaze,CL10R6,Reminder,1 (Minor),1st offence,Leaving Open Lanes,https://discord.com/channels/449754203238301698/1118853982920646677/1154153614965735495
,Commiekaze,CL8F1,Reminder,2 (Moderate),no offence,Leaving Race on manual DNF,
,Commiekaze,CL8S1,Reminder,2 (Moderate),no offence,Unsportsmanlike conduct,Calling driver idiot in chat
,Commiekaze,CL8S3,Reminder 2,1 (Minor),no offence,Chatting During Countdown,
,Commiekaze,CL8F1,Reminder 2,1 (Minor),no offence,Chatting During Race,2nd offence in same day
,Commiekaze,CL10R6,Warning,2 (Moderate),1st offence,Bumping/Crashing,https://discord.com/channels/449754203238301698/1118853982920646677/1154153614965735495
,Commikaze,CL10S3,Absolute Warning,3 (Major),3rd offence,Unsportsmanlike conduct,Homophobic slurs in chat
,Commikaze,CL10F2,Warning,1 (Minor),no offence,Chatting During Countdown,
,Commikaze,CL10S2,Warning,1 (Minor),no offence,Chatting During Countdown,
,Corvid,CL8S7,CONNECTION,2 (Moderate),CONNECTION,LAG / PING Trailers Causing Accident,(4:22) - Has had teleporting in past - now trailers will be tarcked a penalized if they continue to cause major issues. (3 sec minor Pen)
,Corvid,CL8S2,CONNECTION,3 (Major),CONNECTION,LAG / PING Trailers Severe teleporting,(8:58) not acceptable for racing - next violation will enter connection re-hab ((29:58)
,Corvid,SL11R2,CONNECTION,3 (Major),CONNECTION,LAG / PING Trailers Severe teleporting,not acceptable for racing - next violation will enter connection re-hab
,Corvid,CL8S4,Final Warning,1 (Minor),   2nd offence,Chatting During Countdown,
,Corvid,CL8S5,Reminder,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,(5:45)
,Corvid,SL11R2,Reminder,1 (Minor),no offence,Chatting During Countdown,
,Corvid,UL14R6,Reminder,1 (Minor),no offence,Unsafe Track Re-Entry ,https://youtu.be/WMLv_ZKa1eQ?t=576
,Corvid,CL8S3,Reminder 2,1 (Minor),no offence,Chatting During Countdown,
,Corvid,SL11R9,Time-Penalty (5s),1 (Minor),1st offence,Chatting During Countdown,5th time  chatting during racing - 9 drivers remaining racing
,Corvid,UL12R2,Time-Penalty (5s),1 (Minor),2nd offence,Chatting During Countdown,
,Corvid,CL8F8,Trailer-Penalty (3s),1 (Minor),CONNECTION,LAG / PING Trailers Causing Accident,(20:47)  pushed off Jerun + Jerun gets in lag acccident  with KiAT0 with Corvid in between them and he escapes free (6 car lengths ahead on his screen)
,Corvid,CL8F3,Warning,1 (Minor),1st offence,Chatting During Countdown,2nd offence in same day
,Corvid,UL12R2,Warning,3 (Major),no offence,leaving lobby during race,
,Craf,CL7R9,Reminder,1 (Minor),no offence,Education on Ping Trailers,
,Craf,UL12R3,Reminder,1 (Minor),no offence,Late Break,https://youtu.be/D8rKVJnREOg?t=320
,cubo,UL12R6,Final Warning,1 (Minor),no offence,Chatting During Race,
,Cubo,UL12R3,Reminder,1 (Minor),no offence,Aggressive Driving - Bumping/Swerving ,https://youtu.be/cRp9xI7g_K4?t=384
,cubo,SL11R5,Reminder,1 (Minor),no offence,Careless Driving - Leaving Open Lanes, (5:38)
,cubo,CL8S2,Reminder,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,(5:50) Must leave room - wet conditions*
,Cubo,SL11R4,Reminder,1 (Minor),no offence,Chatting During Countdown,
,Cubo,SLX7,Reminder,1 (Minor),1st offence,Chatting During Race - FIA not permitted,As FIA memeber told server to Hush - Internal FIA reminder - Cubo Joined SLO after
,Cubo,UL12R3,Reminder,1 (Minor),no offence,Divebomb,https://youtu.be/D8rKVJnREOg?t=342
,Cubo,CL9F8,Reminder 2,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,https://youtu.be/ySuNPE938Vs?t=1290 https://youtu.be/ySuNPE938Vs?t=1933
,Cubo,CL8S9,Time-Penalty (5s),1 (Minor),1st offence,Chattting during race,
,Cubo,CL8F5,Warning,1 (Minor),1st offence,Chatting During Countdown,
,DANI,JL7R2,Reminder,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,https://youtu.be/CUPQ253V8Mo?t=592
,DANI,JL7R1,Reminder,1 (Minor),no offence,Leaving Race on manual DNF,
,DANI,JL7R2,Reminder (2),1 (Minor),no offence,Careless Driving - Leaving Open Lanes,https://youtu.be/CUPQ253V8Mo?t=650
,DANI,JL7R2,Reminder (3),1 (Minor),no offence,Careless Driving - Leaving Open Lanes,https://youtu.be/CUPQ253V8Mo?t=724
,Danimator,SL11R10,5s Conditional Penalty,None,special offence,Careless Driving - Leaving Open Lanes,(21:47) Due to unique location of incident where recovery is endangered (similar to a final stretch incident hwere a position is given back)
,Danimator,SL11R1,Reminder,1 (Minor),no offence,Chatting During Countdown,
,Danimator,UL12R2,Reminder,1 (Minor),no offence,Leaving Open lanes,https://discord.com/channels/@me/942385478341111868/1099361529717072004
,Danimator,SL11R6,Reminder,2 (Moderate),no offence,Wreckles Driving - Divebomb,(6:40) Diveboming 2 consecutive corners + cutting across the track to do so
,Danimator,UL14R6,Reminder,1 (Minor),1st offence,Careless driving - Swerving,https://youtu.be/WMLv_ZKa1eQ?t=296
,Danimator,SL11R4,Reminder 2,1 (Minor),no offence,Chatting During Countdown,
,Danimator,UL14R3,Warning,2 (Moderate),1st offence,Aggressive cutting leading to Bumping / Crashing,https://youtu.be/wqUHKY-TDTI?t=442
,Deux_Machina,CL11R2,Final Warning,3 (Major),1st offence,Aggressive Divebomb,
,Deux_machina,JL7R3,Reminder,2 (Moderate),no offence,Aggressive Driving - Crashing/Cutting Off,https://youtu.be/VzyyHtTBIQY?t=780
,Deux_Machina,JL6R4,Reminder,1 (Minor),no offence,Chatting During race,https://youtu.be/ByMkgkjmnEc?t=113
,Deux_Machina,JL7R4,Reminder ,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,https://youtu.be/6imH3M5Jkb8?t=311
,Deux_machina,JL7R3,Reminder ,1 (Minor),no offence,Edging,https://youtu.be/VzyyHtTBIQY?t=366
,Deux_Machina,JL11R2,Final Warning ,1 (Minor),no offence,Chatting During Countdown,
,dinhogod,CL8S9,Reminder,1 (Minor),no offence,Aggressive Driving - Bumping/Swerving ,(13:13
,dinhogod,JL6R3,Reminder,1 (Minor),no offence,Chatting during countdown,
,Dr_known,JL6R3,Final Warning,3 (Major),no offence,Unsportsmanlike Conduct,swearing at driver during countdown
,Dr_Known,JL6R2,Reminder,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,https://youtu.be/nFARHXjbxbI?t=481
,Dr_known,JL6R3,Reminder,1 (Minor),no offence,Chatting during countdown,
,Dr_Known,JL6R3,Warning,2 (Moderate),no offence,Bumping/Crashing,https://youtu.be/N5Ye3gjsAOM?t=400
,Edvarditos,JL5R1,Reminder,1 (Minor),no offence,Chatting During Race,
,Edvarditos,JL5R1,Reminder,2 (Moderate),no offence,Unsportsmanlike conduct,(10:04) swearing at driver during a race
,EmaBoxe,CL8F6,Reminder,1 (Minor),no offence,Agressive Driving - Divebomb,(19:54 )
,EmaBoxe,JL4R1,Reminder,1 (Minor),no offence,Careless Driving - Divebombing,(5:58) Leave Outside Lane open 
,EmaBoxe,JL4R3,Reminder,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,(7:52)
,EmaBoxe,JL4R1,Reminder,1 (Minor),no offence,Chatting During Countdown,
,Enigma,UL13R5,Absolute Warning,3 (Major),no offence,Leaving Race on manual DNF,
,Enigma,JL7R5,Reminder,1 (Minor),no offence,Agressive Driving - Divebombs,Back to league general reminder - multiple incidentc
,Enigma,SL7R6,Reminder,1 (Minor),no offence,Careless driving,Reminded to maintain control and to learn patterns of lag in individual drivers
,Enigma,JL8R1,Reminder,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,https://youtu.be/5mGsbpAzLUE?t=669 + https://youtu.be/5mGsbpAzLUE?t=718
