DISCORD ID,DRIVER,PENALTY,PENALTY,SEVERITY,RECORD,CATEGORY,NOTES
,Rock Beavers,JL7R1,Reminder,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,https://youtu.be/ELKVeLsOB3c?t=251
,Rock Beavers,JL7R4,Reminder 2,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,https://youtu.be/6imH3M5Jkb8?t=327
,Russski,JL7R4,Reminder 2,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,https://youtu.be/lpThq0CqoYk?t=772
,Russzki,JL10R5,Final Warning,1 (Minor),no offence,Chatting During Race,
,Russzki,JL8R4,Final Warning ,1 (Minor),no offence,Leaving Open Lanes,https://youtu.be/-SJURdJQK7U?t=234
,Russzki,UL14R3,Reminder,1 (Minor),no offence,Abrupt Lane-Change,https://www.youtube.com/watch?v=wqUHKY-TDTI&t=519s
,Russzki,JL7R2,Reminder,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,https://youtu.be/CUPQ253V8Mo?t=777
,Russzki,JL8R4,Time-Penalty (5s),1 (Minor),1st offence,Abrupt Lane Change,https://youtu.be/-SJURdJQK7U?t=338
,Russzki,JL8R1,Warning,1 (Minor),no offence,Leaving Open Lanes,https://youtu.be/5mGsbpAzLUE?t=288
,Scip,CL8F3,Reminder,1 (Minor),no offence,Chatting During Race,
,Scip,CL8F3,Reminder,2 (Moderate),no offence,Unsportsmanlike conduct,Swearing at driver during race
,Senna,JL6R4,Reminder,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,https://youtu.be/ByMkgkjmnEc?t=64
,Senna,JL6R4,Reminder,1 (Minor),no offence,Unsafe Track Re-Entry,https://youtu.be/ByMkgkjmnEc?t=9
,Sewasd,SL7R6,Reminder,1 (Minor),no offence,Filing a complaint that did not elicit Penalties,Reminded to make sure there is more than just lag / error.
,Sewasd,CL10R4,Reminder,1 (Minor),no offence,Unsafe Track Re-Entry,https://youtu.be/k88cVdG679Y?t=934
,Smirnoff,JL4R2,Reminder,1 (Minor),no offence,Careless driving - Pitlane Violation,(5:55) Steered towards a driver in the pitbox during pit exit
,Smirnoff,CL8S3,Reminder,1 (Minor),no offence,Chatting During Countdown,
,Sobel,UL13,Absolute Warning,3 (Major),1st offence,Conspiring to commit infractions,"Creating alias on server and trolling the leagues with fake contracts   ""evading by leaving server and returning"" - doing this while admin just after dealing with another alt that did race and teher was an FIA announcement made about the severity of alts"
,Sobel,UL13,Absolute Warning,5 (Absolute),1st offence,Travesty of the Sport ,Setting example for other players that creating an alt can be done and impersonating a known offendor of the game 
,Sobel,UL13,Absolute Warning,5 (Absolute),1st offence,Unsportsmanlike Conduct,"  ""evading by leaving server and returning"" - doing this while admin just after dealing with another alt that did race and teher was an FIA announcement made about the severity of alts"
,Sobel,UL13R3,Reminder,2 (Moderate),no offence,Aggressive Driving - Bumping/Swerving ,https://youtu.be/Zfxto-TISuo?t=1636
,Sobel,SL11R9,Reminder,1 (Minor),no offence,Agressive Driving - Track Limits Drawing Penalty,(6:21) making a corner on grass - risks drawing a penalty against someone else - Re-Entry cut off Cubo
,Sobel,SL11R8,Reminder,1 (Minor),no offence,Careless Driving - Divebombing,"but it is a divbomb, plus cutting him off in teh next turnm"
,Sobel,SL11R1,Reminder,1 (Minor),no offence,Careless Driving - Driving Off-Track Into Car,"(10:41) Do not choose a lane that isnt open, running off track into another racer"
,Sobel,SL11R1,Reminder,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,(14:36) Buda gave him open side - then he closed off Buda's on next turn.
,Sobel,UL13R4,Reminder,1 (Minor),no offence,Late break,25:50.11
,Sobel,UL12R8,Reminder 2,2 (Moderate),no offence,Aggressive Driving - Divebombing,https://youtu.be/pUgw6mdiXow?t=402
,Spooder,SL11R1,CONNECTION,4 (Severe),CONNECTION,LAG / PING Trailers Severe teleporting,Connection Re-hab Assigned (not allowed to race in CL/SL races)
,Stefano,JL5R1,Reminder,1 (Minor),no offence,Agressive Driving - Divebomb,(11:57)
,Stefano,JL6R2,Reminder,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,https://youtu.be/nFARHXjbxbI?t=359
,tmtf,JL11R2,Final Warning ,1 (Minor),no offence,Chatting During Countdown,
,tomatoes,CL8S5,Reminder,1 (Minor),no offence,Agressive Driving - Track Limits Drawing Penalty,(6:11) making a corner on grass - risks drawing a penalty against someone else - Re-Entry cut off Cubo
,tomatoes,JL7R1,Reminder,1 (Minor),no offence,Careless Driving - Abrupt Lane-Change,https://youtu.be/ELKVeLsOB3c?t=230
,tomatoes,JL7R1,Reminder,1 (Minor),no offence,Careless Driving - Abrupt Lane-Change,https://youtu.be/ELKVeLsOB3c?t=265
,tomatoes,JL7R2,Reminder,1 (Minor),no offence,Careless Driving - Unsafe Pit Entry,https://youtu.be/CUPQ253V8Mo?t=792
,tomatoes,JL6R3,Reminder,1 (Minor),no offence,Chatting during countdown,
,tomatoes,JL6R1,Reminder,1 (Minor),no offence,Late Break,https://youtu.be/ULvMSCM8ZiU?t=368 (6:08)
,tomatoes,JL5R4,Reminder 2,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,(4:14)
,tomatoes,JL6R5,Reminder 2,1 (Minor),no offence,Late Break,https://youtu.be/fDyQAN3XVUQ?t=395
,tomatoes,JL5R4,Reminder 2 (sr),1 (Minor),no offence,Careless Driving - Leaving Open Lanes,(5:16   *** Very tricky turn but still something to look out for
,tomatoes,JL7R2,Warning,1 (Minor),no offence,Careless Driving - Late Break,https://youtu.be/CUPQ253V8Mo?t=761
,tomatoes,CL8S5,Warning,1 (Minor),1st offence,Careless Driving - Leaving Open Lanes,(6:41) 2nd race in a row with this incident
,tomatoes,JL7R2,Warning (2),1 (Minor),no offence,Careless Driving - Late Break,https://youtu.be/CUPQ253V8Mo?t=1005
,Urist,CL11S5,Final Warning,1 (Minor),no offence,Chatting During Countdown,
,Urist,SL7R5,Grid Penalty,5 (Absolute),1st offence,Abuse of FIA power & Attacking another player during race,Both violations combined into one penalty – start from back of pack.
,Urist,CL8F1,Reminder,1 (Minor),no offence,Aggressive Driving - Pitlane Violation,(24:44) Leave Lanes open in pit for both drivers
,Urist,CL8F2,Reminder,1 (Minor),no offence,Agressive Driving - Divebomb,(24:34)
,Urist,CL8S2,Reminder,1 (Minor),no offence,Careless Driving - Abrupt Lane-Change,(6:15) Cuts into to cut grass infront of other drivers
,Urist,CL11F5,Reminder,2 (Moderate),no offence,Driving Off-Track,https://youtu.be/z_lE25L6Nhc?t=1240
,Urist,CL11R1,Reminder,1 (Minor),no offence,Edging,
,Urist,CL10R6,Reminder,1 (Minor),1st offence,Leaving Open Lanes,https://discord.com/channels/449754203238301698/1118853982920646677/1154153614965735495
,Urist,CL8F5,Reminder 2,1 (Minor),no offence,Agressive Driving - Divebomb,2:24 of race time (not linked) Lap 5
,Urist,CL8S2,Reminder 2,1 (Minor),no offence,Careless Driving - Abrupt Lane-Change,(6:19) immediately cuts of rhozzim into grass with a similar abrupt lane change
,Urist,CL11F5,Reminder 2,1 (Minor),no offence,Leaving open Lanes,https://youtu.be/NPGIvx9gz8E?t=237
,Urist,SL7GG,Warning,3 (Major),1st offence,(Non-League All-Star Race) Targeting driver on track,Committing & public boasting of unsportsmanlike conduct. Only level 3 because of off-season event
,Urist,CL9F1,Warning,1 (Minor),no offence,Agressive Driving - Divebomb,https://gyazo.com/416f96e91867607fdbcdcbde9374ac31
,Urist,UL13R3,Warning,3 (Major),no offence,Bumping/Crashing,https://youtu.be/N1UDXaF005w?t=611
,Urist,SL7R5,Warning,2 (Moderate),1st offence,Engaging in Chat during race,Full-on conversation/argument in race in verbal assault of another driver.
,Urist,UL13R3,Warning,3 (Major),no offence,Post-Race Arguing /Instigating,https://discord.com/channels/449754203238301698/903800685697593344/1132742085624209408
,Urist,CL11F6,Warning,1 (Minor),no offence,Careless Driving - Abrupt Lane-Change,https://youtu.be/FsIl5dm5DBQ?t=1134
,Urist,UL14,Server Mute Warning,4 (Severe),no offence,Server-Mute ,For public toxic arguments and name calling Nov 28
,Vepyr,JL7R2,Reminder,1 (Minor),no offence,Unsafe Track Re-Entry,https://youtu.be/RONyuj8nUNo?t=105
,Vepyr,JL7R3,Reminder ,1 (Minor),no offence,Chatting Duirng Countdown,
,Vepyr,JL7R5,Reminder2,1 (Minor),no offence,Unsafe Track Re-Entry,https://youtu.be/J63YygrF_P8?t=19
,vincy,JL10R5,Final Warning,1 (Minor),no offence,Chatting During Race,
,Vlad0204,CL11R4,Reminder,1 (Minor),no offence,Leaving open lanes,https://www.youtube.com/watch?v=rg1VziG2N3A&t=790s
,vlad0204,CL11F5,Warning,2 (Moderate),no offence,Divebomb,https://youtu.be/z_lE25L6Nhc?t=1017
,Vlad0204,CL10R6,Warning,2 (Moderate),1st offence,Edging,https://discord.com/channels/449754203238301698/1118853982920646677/1154153614965735495
,vr_46,JL10R1,Reminder,1 (Minor),no offence,Chatting During Countdown,
,Wojtek,JL11R2,Final Warning ,1 (Minor),no offence,Chatting During Countdown,
,x6ten,CL8S1,Reminder,1 (Minor),no offence,Chatting During race,
,x6ten,CL8F1,Reminder,1 (Minor),no offence,PING TRAILERS,(25:16)  Be aware of lanes when both drivers are high PINGers
,x6ten,CL8F1,Reminder 2,1 (Minor),no offence,Chatting During Countdown,2nd offence in same day
,x6ten,CL8F1,Warning,2 (Moderate),no offence,Aggressive Driving - Bumping/Swerving ,"(25:43)  Even if in defense, crashing into eachother is not allowed"
,Zekisverse,JL4R1,Reminder,1 (Minor),no offence,Agressive Driving - Divebomb Drawing Penalty,"(13:26) Do not choose a lane that isnt open, running off track into another racer"
,Zekisverse,JL4R1,Reminder,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,(10:25)  stay on inside line the whoel turn (did this perfectly the previous lap)
,Zekisverse,JL4R1,Reminder,1 (Minor),no offence,Chatting During Countdown,
